age,sex,mort,ylds (years lived with disability)_rate_dmt2,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,15216,dmt2,0,10,0,0,0,5,male_dmt2,North East England
1,male,0,0,0,1e-8,15216,dmt2,0,10,0,0,0,5,male_dmt2,North East England
2,male,0,0,0,1e-8,15216,dmt2,0,10,0,0,0,5,male_dmt2,North East England
3,male,0,0,0,1e-8,15216,dmt2,0,10,0,0,0,5,male_dmt2,North East England
4,male,0,0,0,1e-8,15216,dmt2,0,10,0,0,0,5,male_dmt2,North East England
5,male,0,0,0,1e-8,16036,dmt2,0,10,5,0,0,5,male_dmt2,North East England
6,male,0,0,0,1e-8,16036,dmt2,0,10,5,0,0,5,male_dmt2,North East England
7,male,0,0,0,1e-8,16036,dmt2,0,10,5,0,0,5,male_dmt2,North East England
8,male,0,0,0,1e-8,16036,dmt2,0,10,5,0,0,5,male_dmt2,North East England
9,male,0,0,0,1e-8,16036,dmt2,0,10,5,0,0,5,male_dmt2,North East England
10,male,0,1.2116676979269944e-4,0.0024365006694137795,0.001167819366657155,14842,dmt2,0,50,10,0,0,5,male_dmt2,North East England
11,male,0,1.2116676979269944e-4,0.0024365006694137795,0.001167819366657155,14842,dmt2,0,50,10,0,0,5,male_dmt2,North East England
12,male,0,1.2116676979269944e-4,0.0024365006694137795,0.001167819366657155,14842,dmt2,0,50,10,0,0,5,male_dmt2,North East England
13,male,0,1.2116676979269944e-4,0.0024365006694137795,0.001167819366657155,14842,dmt2,0,50,10,0,0,5,male_dmt2,North East England
14,male,0,1.2116676979269944e-4,0.0024365006694137795,0.001167819366657155,14842,dmt2,0,50,10,0,0,5,male_dmt2,North East England
15,male,9.880157224389004e-8,8.07839606753626e-4,0.015353802807773563,0.004093419515775923,15215,dmt2,0,50,15,1,0,5,male_dmt2,North East England
16,male,9.880157224389004e-8,8.07839606753626e-4,0.015353802807773563,0.004093419515775923,15215,dmt2,0,50,15,1,0,5,male_dmt2,North East England
17,male,9.880157224389004e-8,8.07839606753626e-4,0.015353802807773563,0.004093419515775923,15215,dmt2,0,50,15,1,0,5,male_dmt2,North East England
18,male,9.880157224389004e-8,8.07839606753626e-4,0.015353802807773563,0.004093419515775923,15215,dmt2,0,50,15,1,0,5,male_dmt2,North East England
19,male,9.880157224389004e-8,8.07839606753626e-4,0.015353802807773563,0.004093419515775923,15215,dmt2,0,50,15,1,0,5,male_dmt2,North East England
20,male,2.0303816212248906e-7,0.002162655239436574,0.03869542674333848,0.004429019097962972,17404,dmt2,0,50,20,2,0,5,male_dmt2,North East England
21,male,2.0303816212248906e-7,0.002162655239436574,0.03869542674333848,0.004429019097962972,17404,dmt2,0,50,20,2,0,5,male_dmt2,North East England
22,male,2.0303816212248906e-7,0.002162655239436574,0.03869542674333848,0.004429019097962972,17404,dmt2,0,50,20,2,0,5,male_dmt2,North East England
23,male,2.0303816212248906e-7,0.002162655239436574,0.03869542674333848,0.004429019097962972,17404,dmt2,0,50,20,2,0,5,male_dmt2,North East England
24,male,2.0303816212248906e-7,0.002162655239436574,0.03869542674333848,0.004429019097962972,17404,dmt2,0,50,20,2,0,5,male_dmt2,North East England
25,male,3.5624497909312474e-7,0.0031511186704309283,0.053453231272861904,0.002079600545403013,18636,dmt2,0,50,25,3,0,5,male_dmt2,North East England
26,male,3.5624497909312474e-7,0.0031511186704309283,0.053453231272861904,0.002079600545403013,18636,dmt2,0,50,25,3,0,5,male_dmt2,North East England
27,male,3.5624497909312474e-7,0.0031511186704309283,0.053453231272861904,0.002079600545403013,18636,dmt2,0,50,25,3,0,5,male_dmt2,North East England
28,male,3.5624497909312474e-7,0.0031511186704309283,0.053453231272861904,0.002079600545403013,18636,dmt2,0,50,25,3,0,5,male_dmt2,North East England
29,male,3.5624497909312474e-7,0.0031511186704309283,0.053453231272861904,0.002079600545403013,18636,dmt2,0,50,25,3,0,5,male_dmt2,North East England
30,male,1.955274961606401e-6,0.003711714364472008,0.06024945688170793,0.001611095696269694,17295,dmt2,0,50,30,3,0,5,male_dmt2,North East England
31,male,1.955274961606401e-6,0.003711714364472008,0.06024945688170793,0.001611095696269694,17295,dmt2,0,50,30,3,0,5,male_dmt2,North East England
32,male,1.955274961606401e-6,0.003711714364472008,0.06024945688170793,0.001611095696269694,17295,dmt2,0,50,30,3,0,5,male_dmt2,North East England
33,male,1.955274961606401e-6,0.003711714364472008,0.06024945688170793,0.001611095696269694,17295,dmt2,0,50,30,3,0,5,male_dmt2,North East England
34,male,1.955274961606401e-6,0.003711714364472008,0.06024945688170793,0.001611095696269694,17295,dmt2,0,50,30,3,0,5,male_dmt2,North East England
35,male,2.894895827008622e-6,0.0042844953048116075,0.06701687129748615,0.0020126909948247123,16399,dmt2,0,50,35,3,0,5,male_dmt2,North East England
36,male,2.894895827008622e-6,0.0042844953048116075,0.06701687129748615,0.0020126909948247123,16399,dmt2,0,50,35,3,0,5,male_dmt2,North East England
37,male,2.894895827008622e-6,0.0042844953048116075,0.06701687129748615,0.0020126909948247123,16399,dmt2,0,50,35,3,0,5,male_dmt2,North East England
38,male,2.894895827008622e-6,0.0042844953048116075,0.06701687129748615,0.0020126909948247123,16399,dmt2,0,50,35,3,0,5,male_dmt2,North East England
39,male,2.894895827008622e-6,0.0042844953048116075,0.06701687129748615,0.0020126909948247123,16399,dmt2,0,50,35,3,0,5,male_dmt2,North East England
40,male,4.058063968019469e-6,0.0052117766134588545,0.07886817741666388,0.0044377778786353255,15345,dmt2,0,50,40,4,0,5,male_dmt2,North East England
41,male,4.058063968019469e-6,0.0052117766134588545,0.07886817741666388,0.0044377778786353255,15345,dmt2,0,50,40,4,0,5,male_dmt2,North East England
42,male,4.058063968019469e-6,0.0052117766134588545,0.07886817741666388,0.0044377778786353255,15345,dmt2,0,50,40,4,0,5,male_dmt2,North East England
43,male,4.058063968019469e-6,0.0052117766134588545,0.07886817741666388,0.0044377778786353255,15345,dmt2,0,50,40,4,0,5,male_dmt2,North East England
44,male,4.058063968019469e-6,0.0052117766134588545,0.07886817741666388,0.0044377778786353255,15345,dmt2,0,50,40,4,0,5,male_dmt2,North East England
45,male,1.4273526007736649e-5,0.007412109834354832,0.10882084785812057,0.008634047926191327,17854,dmt2,0,50,45,5,0,5,male_dmt2,North East England
46,male,1.4273526007736649e-5,0.007412109834354832,0.10882084785812057,0.008634047926191327,17854,dmt2,0,50,45,5,0,5,male_dmt2,North East England
47,male,1.4273526007736649e-5,0.007412109834354832,0.10882084785812057,0.008634047926191327,17854,dmt2,0,50,45,5,0,5,male_dmt2,North East England
48,male,1.4273526007736649e-5,0.007412109834354832,0.10882084785812057,0.008634047926191327,17854,dmt2,0,50,45,5,0,5,male_dmt2,North East England
49,male,1.4273526007736649e-5,0.007412109834354832,0.10882084785812057,0.008634047926191327,17854,dmt2,0,50,45,5,0,5,male_dmt2,North East England
50,male,1.7351863232790263e-5,0.010540590241022493,0.1542234294130188,0.010122626158768293,19109,dmt2,0,50,50,8,0,5,male_dmt2,North East England
51,male,1.7351863232790263e-5,0.010540590241022493,0.1542234294130188,0.010122626158768293,19109,dmt2,0,50,50,8,0,5,male_dmt2,North East England
52,male,1.7351863232790263e-5,0.010540590241022493,0.1542234294130188,0.010122626158768293,19109,dmt2,0,50,50,8,0,5,male_dmt2,North East England
53,male,1.7351863232790263e-5,0.010540590241022493,0.1542234294130188,0.010122626158768293,19109,dmt2,0,50,50,8,0,5,male_dmt2,North East England
54,male,1.7351863232790263e-5,0.010540590241022493,0.1542234294130188,0.010122626158768293,19109,dmt2,0,50,50,8,0,5,male_dmt2,North East England
55,male,2.7897416672643004e-5,0.013285616803408415,0.19849505178819432,0.009358431396525537,17762,dmt2,0,50,55,10,0,5,male_dmt2,North East England
56,male,2.7897416672643004e-5,0.013285616803408415,0.19849505178819432,0.009358431396525537,17762,dmt2,0,50,55,10,0,5,male_dmt2,North East England
57,male,2.7897416672643004e-5,0.013285616803408415,0.19849505178819432,0.009358431396525537,17762,dmt2,0,50,55,10,0,5,male_dmt2,North East England
58,male,2.7897416672643004e-5,0.013285616803408415,0.19849505178819432,0.009358431396525537,17762,dmt2,0,50,55,10,0,5,male_dmt2,North East England
59,male,2.7897416672643004e-5,0.013285616803408415,0.19849505178819432,0.009358431396525537,17762,dmt2,0,50,55,10,0,5,male_dmt2,North East England
60,male,5.6925758602818314e-5,0.015529759681638609,0.23709078339107897,0.008300889309625845,15490,dmt2,0,50,60,12,1,5,male_dmt2,North East England
61,male,5.6925758602818314e-5,0.015529759681638609,0.23709078339107897,0.008300889309625845,15490,dmt2,0,50,60,12,1,5,male_dmt2,North East England
62,male,5.6925758602818314e-5,0.015529759681638609,0.23709078339107897,0.008300889309625845,15490,dmt2,0,50,60,12,1,5,male_dmt2,North East England
63,male,5.6925758602818314e-5,0.015529759681638609,0.23709078339107897,0.008300889309625845,15490,dmt2,0,50,60,12,1,5,male_dmt2,North East England
64,male,5.6925758602818314e-5,0.015529759681638609,0.23709078339107897,0.008300889309625845,15490,dmt2,0,50,60,12,1,5,male_dmt2,North East England
65,male,9.452869133336616e-5,0.01708716607596566,0.26728185899322643,0.007045230668147652,15237,dmt2,0,50,65,13,1,5,male_dmt2,North East England
66,male,9.452869133336616e-5,0.01708716607596566,0.26728185899322643,0.007045230668147652,15237,dmt2,0,50,65,13,1,5,male_dmt2,North East England
67,male,9.452869133336616e-5,0.01708716607596566,0.26728185899322643,0.007045230668147652,15237,dmt2,0,50,65,13,1,5,male_dmt2,North East England
68,male,9.452869133336616e-5,0.01708716607596566,0.26728185899322643,0.007045230668147652,15237,dmt2,0,50,65,13,1,5,male_dmt2,North East England
69,male,9.452869133336616e-5,0.01708716607596566,0.26728185899322643,0.007045230668147652,15237,dmt2,0,50,65,13,1,5,male_dmt2,North East England
70,male,1.5022077377507012e-4,0.018914050741065867,0.299123391096739,0.011694633817216664,12182,dmt2,0,50,70,15,2,5,male_dmt2,North East England
71,male,1.5022077377507012e-4,0.018914050741065867,0.299123391096739,0.011694633817216664,12182,dmt2,0,50,70,15,2,5,male_dmt2,North East England
72,male,1.5022077377507012e-4,0.018914050741065867,0.299123391096739,0.011694633817216664,12182,dmt2,0,50,70,15,2,5,male_dmt2,North East England
73,male,1.5022077377507012e-4,0.018914050741065867,0.299123391096739,0.011694633817216664,12182,dmt2,0,50,70,15,2,5,male_dmt2,North East England
74,male,1.5022077377507012e-4,0.018914050741065867,0.299123391096739,0.011694633817216664,12182,dmt2,0,50,70,15,2,5,male_dmt2,North East England
75,male,3.0557785685246606e-4,0.023355027747663418,0.36907727416097086,0.02023730141856253,8601,dmt2,0,50,75,18,3,5,male_dmt2,North East England
76,male,3.0557785685246606e-4,0.023355027747663418,0.36907727416097086,0.02023730141856253,8601,dmt2,0,50,75,18,3,5,male_dmt2,North East England
77,male,3.0557785685246606e-4,0.023355027747663418,0.36907727416097086,0.02023730141856253,8601,dmt2,0,50,75,18,3,5,male_dmt2,North East England
78,male,3.0557785685246606e-4,0.023355027747663418,0.36907727416097086,0.02023730141856253,8601,dmt2,0,50,75,18,3,5,male_dmt2,North East England
79,male,3.0557785685246606e-4,0.023355027747663418,0.36907727416097086,0.02023730141856253,8601,dmt2,0,50,75,18,3,5,male_dmt2,North East England
80,male,5.663001936422699e-4,0.028874172892434675,0.45676211326243965,0.01640583539486675,5977,dmt2,0,20,80,9,3,5,male_dmt2,North East England
81,male,5.663001936422699e-4,0.028874172892434675,0.45676211326243965,0.01640583539486675,5977,dmt2,0,20,80,9,3,5,male_dmt2,North East England
82,male,5.663001936422699e-4,0.028874172892434675,0.45676211326243965,0.01640583539486675,5977,dmt2,0,20,80,9,3,5,male_dmt2,North East England
83,male,5.663001936422699e-4,0.028874172892434675,0.45676211326243965,0.01640583539486675,5977,dmt2,0,20,80,9,3,5,male_dmt2,North East England
84,male,5.663001936422699e-4,0.028874172892434675,0.45676211326243965,0.01640583539486675,5977,dmt2,0,20,80,9,3,5,male_dmt2,North East England
85,male,0.0010184872084317235,0.03141110444252296,0.49947854781208495,0.005718482842713867,3050,dmt2,0,20,85,10,3,5,male_dmt2,North East England
86,male,0.0010184872084317235,0.03141110444252296,0.49947854781208495,0.005718482842713867,3050,dmt2,0,20,85,10,3,5,male_dmt2,North East England
87,male,0.0010184872084317235,0.03141110444252296,0.49947854781208495,0.005718482842713867,3050,dmt2,0,20,85,10,3,5,male_dmt2,North East England
88,male,0.0010184872084317235,0.03141110444252296,0.49947854781208495,0.005718482842713867,3050,dmt2,0,20,85,10,3,5,male_dmt2,North East England
89,male,0.0010184872084317235,0.03141110444252296,0.49947854781208495,0.005718482842713867,3050,dmt2,0,20,85,10,3,5,male_dmt2,North East England
90,male,0.0015867038091253393,0.031389647657649546,0.5000881353400449,8.503946620913221e-4,1117,dmt2,0,10,90,5,2,5,male_dmt2,North East England
91,male,0.0015867038091253393,0.031389647657649546,0.5000881353400449,8.503946620913221e-4,1117,dmt2,0,10,90,5,2,5,male_dmt2,North East England
92,male,0.0015867038091253393,0.031389647657649546,0.5000881353400449,8.503946620913221e-4,1117,dmt2,0,10,90,5,2,5,male_dmt2,North East England
93,male,0.0015867038091253393,0.031389647657649546,0.5000881353400449,8.503946620913221e-4,1117,dmt2,0,10,90,5,2,5,male_dmt2,North East England
94,male,0.0015867038091253393,0.031389647657649546,0.5000881353400449,8.503946620913221e-4,1117,dmt2,0,10,90,5,2,5,male_dmt2,North East England
95,male,0.002647221516708111,0.03071213545326361,0.4875638370374465,4.942828731994282e-4,175,dmt2,0,10,95,5,0,6,male_dmt2,North East England
96,male,0.002647221516708111,0.03071213545326361,0.4875638370374465,4.942828731994282e-4,175,dmt2,0,10,95,5,0,6,male_dmt2,North East England
97,male,0.002647221516708111,0.03071213545326361,0.4875638370374465,4.942828731994282e-4,175,dmt2,0,10,95,5,0,6,male_dmt2,North East England
98,male,0.002647221516708111,0.03071213545326361,0.4875638370374465,4.942828731994282e-4,175,dmt2,0,10,95,5,0,6,male_dmt2,North East England
99,male,0.002647221516708111,0.03071213545326361,0.4875638370374465,4.942828731994282e-4,175,dmt2,0,10,95,5,0,6,male_dmt2,North East England
100,male,0.002647221516708111,0.03071213545326361,0.4875638370374465,4.942828731994282e-4,175,dmt2,0,10,95,5,0,6,male_dmt2,North East England
