age,sex,inc,mort,ylds (years lived with disability)_rate_crdd,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,3.0692645054912964e-4,8.325840780152539e-6,6.315009276654129e-5,2.1129491643269452e-4,6598,Crdd,0,10,0,0,0,5,female_Crdd
1,female,3.0692645054912964e-4,8.325840780152539e-6,6.315009276654129e-5,2.1129491643269452e-4,6598,Crdd,0,10,0,0,0,5,female_Crdd
2,female,3.0692645054912964e-4,8.325840780152539e-6,6.315009276654129e-5,2.1129491643269452e-4,6598,Crdd,0,10,0,0,0,5,female_Crdd
3,female,3.0692645054912964e-4,8.325840780152539e-6,6.315009276654129e-5,2.1129491643269452e-4,6598,Crdd,0,10,0,0,0,5,female_Crdd
4,female,3.0692645054912964e-4,8.325840780152539e-6,6.315009276654129e-5,2.1129491643269452e-4,6598,Crdd,0,10,0,0,0,5,female_Crdd
5,female,2.671453418187808e-4,1.5532072437974156e-6,1.2093176018337774e-4,2.0826554450198914e-4,6603,Crdd,0,10,5,0,0,5,female_Crdd
6,female,2.671453418187808e-4,1.5532072437974156e-6,1.2093176018337774e-4,2.0826554450198914e-4,6603,Crdd,0,10,5,0,0,5,female_Crdd
7,female,2.671453418187808e-4,1.5532072437974156e-6,1.2093176018337774e-4,2.0826554450198914e-4,6603,Crdd,0,10,5,0,0,5,female_Crdd
8,female,2.671453418187808e-4,1.5532072437974156e-6,1.2093176018337774e-4,2.0826554450198914e-4,6603,Crdd,0,10,5,0,0,5,female_Crdd
9,female,2.671453418187808e-4,1.5532072437974156e-6,1.2093176018337774e-4,2.0826554450198914e-4,6603,Crdd,0,10,5,0,0,5,female_Crdd
10,female,2.354018940779726e-4,2.4948432898615736e-6,2.2083276736382327e-4,0.0013348334401266104,6051,Crdd,0,50,10,0,0,5,female_Crdd
11,female,2.354018940779726e-4,2.4948432898615736e-6,2.2083276736382327e-4,0.0013348334401266104,6051,Crdd,0,50,10,0,0,5,female_Crdd
12,female,2.354018940779726e-4,2.4948432898615736e-6,2.2083276736382327e-4,0.0013348334401266104,6051,Crdd,0,50,10,0,0,5,female_Crdd
13,female,2.354018940779726e-4,2.4948432898615736e-6,2.2083276736382327e-4,0.0013348334401266104,6051,Crdd,0,50,10,0,0,5,female_Crdd
14,female,2.354018940779726e-4,2.4948432898615736e-6,2.2083276736382327e-4,0.0013348334401266104,6051,Crdd,0,50,10,0,0,5,female_Crdd
15,female,3.1083562545806303e-4,9.65713868110493e-6,5.376217957826072e-4,0.00653892740351385,6338,Crdd,0,50,15,0,0,5,female_Crdd
16,female,3.1083562545806303e-4,9.65713868110493e-6,5.376217957826072e-4,0.00653892740351385,6338,Crdd,0,50,15,0,0,5,female_Crdd
17,female,3.1083562545806303e-4,9.65713868110493e-6,5.376217957826072e-4,0.00653892740351385,6338,Crdd,0,50,15,0,0,5,female_Crdd
18,female,3.1083562545806303e-4,9.65713868110493e-6,5.376217957826072e-4,0.00653892740351385,6338,Crdd,0,50,15,0,0,5,female_Crdd
19,female,3.1083562545806303e-4,9.65713868110493e-6,5.376217957826072e-4,0.00653892740351385,6338,Crdd,0,50,15,0,0,5,female_Crdd
20,female,5.61429395982057e-4,1.355711205946091e-5,6.728240862693247e-4,0.008195010944035285,7828,Crdd,0,50,20,0,0,5,female_Crdd
21,female,5.61429395982057e-4,1.355711205946091e-5,6.728240862693247e-4,0.008195010944035285,7828,Crdd,0,50,20,0,0,5,female_Crdd
22,female,5.61429395982057e-4,1.355711205946091e-5,6.728240862693247e-4,0.008195010944035285,7828,Crdd,0,50,20,0,0,5,female_Crdd
23,female,5.61429395982057e-4,1.355711205946091e-5,6.728240862693247e-4,0.008195010944035285,7828,Crdd,0,50,20,0,0,5,female_Crdd
24,female,5.61429395982057e-4,1.355711205946091e-5,6.728240862693247e-4,0.008195010944035285,7828,Crdd,0,50,20,0,0,5,female_Crdd
25,female,0.001002234714891596,1.883261251051861e-5,0.0010836909172864976,0.015088043247368933,8833,Crdd,0,50,25,1,0,5,female_Crdd
26,female,0.001002234714891596,1.883261251051861e-5,0.0010836909172864976,0.015088043247368933,8833,Crdd,0,50,25,1,0,5,female_Crdd
27,female,0.001002234714891596,1.883261251051861e-5,0.0010836909172864976,0.015088043247368933,8833,Crdd,0,50,25,1,0,5,female_Crdd
28,female,0.001002234714891596,1.883261251051861e-5,0.0010836909172864976,0.015088043247368933,8833,Crdd,0,50,25,1,0,5,female_Crdd
29,female,0.001002234714891596,1.883261251051861e-5,0.0010836909172864976,0.015088043247368933,8833,Crdd,0,50,25,1,0,5,female_Crdd
30,female,0.0017767529084274038,3.247067929671433e-5,0.0012861777538742028,0.018509565223397584,7963,Crdd,0,50,30,1,0,5,female_Crdd
31,female,0.0017767529084274038,3.247067929671433e-5,0.0012861777538742028,0.018509565223397584,7963,Crdd,0,50,30,1,0,5,female_Crdd
32,female,0.0017767529084274038,3.247067929671433e-5,0.0012861777538742028,0.018509565223397584,7963,Crdd,0,50,30,1,0,5,female_Crdd
33,female,0.0017767529084274038,3.247067929671433e-5,0.0012861777538742028,0.018509565223397584,7963,Crdd,0,50,30,1,0,5,female_Crdd
34,female,0.0017767529084274038,3.247067929671433e-5,0.0012861777538742028,0.018509565223397584,7963,Crdd,0,50,30,1,0,5,female_Crdd
35,female,0.0028718900976386734,6.314759840763739e-5,0.0013257574875426977,0.01930588086156898,7482,Crdd,0,50,35,1,0,5,female_Crdd
36,female,0.0028718900976386734,6.314759840763739e-5,0.0013257574875426977,0.01930588086156898,7482,Crdd,0,50,35,1,0,5,female_Crdd
37,female,0.0028718900976386734,6.314759840763739e-5,0.0013257574875426977,0.01930588086156898,7482,Crdd,0,50,35,1,0,5,female_Crdd
38,female,0.0028718900976386734,6.314759840763739e-5,0.0013257574875426977,0.01930588086156898,7482,Crdd,0,50,35,1,0,5,female_Crdd
39,female,0.0028718900976386734,6.314759840763739e-5,0.0013257574875426977,0.01930588086156898,7482,Crdd,0,50,35,1,0,5,female_Crdd
40,female,0.00594048661388967,1.0798357466522934e-4,0.0020835869760880447,0.043065662252865525,6901,Crdd,0,50,40,2,1,5,female_Crdd
41,female,0.00594048661388967,1.0798357466522934e-4,0.0020835869760880447,0.043065662252865525,6901,Crdd,0,50,40,2,1,5,female_Crdd
42,female,0.00594048661388967,1.0798357466522934e-4,0.0020835869760880447,0.043065662252865525,6901,Crdd,0,50,40,2,1,5,female_Crdd
43,female,0.00594048661388967,1.0798357466522934e-4,0.0020835869760880447,0.043065662252865525,6901,Crdd,0,50,40,2,1,5,female_Crdd
44,female,0.00594048661388967,1.0798357466522934e-4,0.0020835869760880447,0.043065662252865525,6901,Crdd,0,50,40,2,1,5,female_Crdd
45,female,0.007324447960590867,2.0006182336003336e-4,0.0028349933573562467,0.058526828794399084,7531,Crdd,0,50,45,3,2,5,female_Crdd
46,female,0.007324447960590867,2.0006182336003336e-4,0.0028349933573562467,0.058526828794399084,7531,Crdd,0,50,45,3,2,5,female_Crdd
47,female,0.007324447960590867,2.0006182336003336e-4,0.0028349933573562467,0.058526828794399084,7531,Crdd,0,50,45,3,2,5,female_Crdd
48,female,0.007324447960590867,2.0006182336003336e-4,0.0028349933573562467,0.058526828794399084,7531,Crdd,0,50,45,3,2,5,female_Crdd
49,female,0.007324447960590867,2.0006182336003336e-4,0.0028349933573562467,0.058526828794399084,7531,Crdd,0,50,45,3,2,5,female_Crdd
50,female,0.009942999158796326,3.06280052838588e-4,0.003780583706152168,0.0758397478881277,7629,Crdd,0,50,50,4,2,5,female_Crdd
51,female,0.009942999158796326,3.06280052838588e-4,0.003780583706152168,0.0758397478881277,7629,Crdd,0,50,50,4,2,5,female_Crdd
52,female,0.009942999158796326,3.06280052838588e-4,0.003780583706152168,0.0758397478881277,7629,Crdd,0,50,50,4,2,5,female_Crdd
53,female,0.009942999158796326,3.06280052838588e-4,0.003780583706152168,0.0758397478881277,7629,Crdd,0,50,50,4,2,5,female_Crdd
54,female,0.009942999158796326,3.06280052838588e-4,0.003780583706152168,0.0758397478881277,7629,Crdd,0,50,50,4,2,5,female_Crdd
55,female,0.014698417474164584,5.06547132958962e-4,0.0054914142146468975,0.10657043325534092,6580,Crdd,0,50,55,5,3,5,female_Crdd
56,female,0.014698417474164584,5.06547132958962e-4,0.0054914142146468975,0.10657043325534092,6580,Crdd,0,50,55,5,3,5,female_Crdd
57,female,0.014698417474164584,5.06547132958962e-4,0.0054914142146468975,0.10657043325534092,6580,Crdd,0,50,55,5,3,5,female_Crdd
58,female,0.014698417474164584,5.06547132958962e-4,0.0054914142146468975,0.10657043325534092,6580,Crdd,0,50,55,5,3,5,female_Crdd
59,female,0.014698417474164584,5.06547132958962e-4,0.0054914142146468975,0.10657043325534092,6580,Crdd,0,50,55,5,3,5,female_Crdd
60,female,0.02375872332260437,9.62465720729207e-4,0.00809052516776804,0.1541241493068001,5725,Crdd,0,50,60,8,6,5,female_Crdd
61,female,0.02375872332260437,9.62465720729207e-4,0.00809052516776804,0.1541241493068001,5725,Crdd,0,50,60,8,6,5,female_Crdd
62,female,0.02375872332260437,9.62465720729207e-4,0.00809052516776804,0.1541241493068001,5725,Crdd,0,50,60,8,6,5,female_Crdd
63,female,0.02375872332260437,9.62465720729207e-4,0.00809052516776804,0.1541241493068001,5725,Crdd,0,50,60,8,6,5,female_Crdd
64,female,0.02375872332260437,9.62465720729207e-4,0.00809052516776804,0.1541241493068001,5725,Crdd,0,50,60,8,6,5,female_Crdd
65,female,0.039922765286096305,0.001722483300010674,0.01155332759087629,0.22268805136806172,5670,Crdd,0,50,65,11,10,5,female_Crdd
66,female,0.039922765286096305,0.001722483300010674,0.01155332759087629,0.22268805136806172,5670,Crdd,0,50,65,11,10,5,female_Crdd
67,female,0.039922765286096305,0.001722483300010674,0.01155332759087629,0.22268805136806172,5670,Crdd,0,50,65,11,10,5,female_Crdd
68,female,0.039922765286096305,0.001722483300010674,0.01155332759087629,0.22268805136806172,5670,Crdd,0,50,65,11,10,5,female_Crdd
69,female,0.039922765286096305,0.001722483300010674,0.01155332759087629,0.22268805136806172,5670,Crdd,0,50,65,11,10,5,female_Crdd
70,female,0.06155500591853894,0.003380659414150645,0.016443214659671735,0.30285628211981436,5104,Crdd,0,50,70,15,17,5,female_Crdd
71,female,0.06155500591853894,0.003380659414150645,0.016443214659671735,0.30285628211981436,5104,Crdd,0,50,70,15,17,5,female_Crdd
72,female,0.06155500591853894,0.003380659414150645,0.016443214659671735,0.30285628211981436,5104,Crdd,0,50,70,15,17,5,female_Crdd
73,female,0.06155500591853894,0.003380659414150645,0.016443214659671735,0.30285628211981436,5104,Crdd,0,50,70,15,17,5,female_Crdd
74,female,0.06155500591853894,0.003380659414150645,0.016443214659671735,0.30285628211981436,5104,Crdd,0,50,70,15,17,5,female_Crdd
75,female,0.08818852680473666,0.007224174624107843,0.023365776983714243,0.3894944687966158,3792,Crdd,0,50,75,19,27,5,female_Crdd
76,female,0.08818852680473666,0.007224174624107843,0.023365776983714243,0.3894944687966158,3792,Crdd,0,50,75,19,27,5,female_Crdd
77,female,0.08818852680473666,0.007224174624107843,0.023365776983714243,0.3894944687966158,3792,Crdd,0,50,75,19,27,5,female_Crdd
78,female,0.08818852680473666,0.007224174624107843,0.023365776983714243,0.3894944687966158,3792,Crdd,0,50,75,19,27,5,female_Crdd
79,female,0.08818852680473666,0.007224174624107843,0.023365776983714243,0.3894944687966158,3792,Crdd,0,50,75,19,27,5,female_Crdd
80,female,0.12027217205337261,0.015905658522930882,0.030380318020450322,0.4505308283132703,2983,Crdd,0,20,80,9,47,5,female_Crdd
81,female,0.12027217205337261,0.015905658522930882,0.030380318020450322,0.4505308283132703,2983,Crdd,0,20,80,9,47,5,female_Crdd
82,female,0.12027217205337261,0.015905658522930882,0.030380318020450322,0.4505308283132703,2983,Crdd,0,20,80,9,47,5,female_Crdd
83,female,0.12027217205337261,0.015905658522930882,0.030380318020450322,0.4505308283132703,2983,Crdd,0,20,80,9,47,5,female_Crdd
84,female,0.12027217205337261,0.015905658522930882,0.030380318020450322,0.4505308283132703,2983,Crdd,0,20,80,9,47,5,female_Crdd
85,female,0.15184220653734026,0.03603607428245521,0.03698063283178308,0.4835555797657379,2001,Crdd,0,20,85,10,71,5,female_Crdd
86,female,0.15184220653734026,0.03603607428245521,0.03698063283178308,0.4835555797657379,2001,Crdd,0,20,85,10,71,5,female_Crdd
87,female,0.15184220653734026,0.03603607428245521,0.03698063283178308,0.4835555797657379,2001,Crdd,0,20,85,10,71,5,female_Crdd
88,female,0.15184220653734026,0.03603607428245521,0.03698063283178308,0.4835555797657379,2001,Crdd,0,20,85,10,71,5,female_Crdd
89,female,0.15184220653734026,0.03603607428245521,0.03698063283178308,0.4835555797657379,2001,Crdd,0,20,85,10,71,5,female_Crdd
90,female,0.179348339160177,0.06307415734595784,0.04134837184654079,0.48588057198602735,1019,Crdd,0,10,90,5,62,5,female_Crdd
91,female,0.179348339160177,0.06307415734595784,0.04134837184654079,0.48588057198602735,1019,Crdd,0,10,90,5,62,5,female_Crdd
92,female,0.179348339160177,0.06307415734595784,0.04134837184654079,0.48588057198602735,1019,Crdd,0,10,90,5,62,5,female_Crdd
93,female,0.179348339160177,0.06307415734595784,0.04134837184654079,0.48588057198602735,1019,Crdd,0,10,90,5,62,5,female_Crdd
94,female,0.179348339160177,0.06307415734595784,0.04134837184654079,0.48588057198602735,1019,Crdd,0,10,90,5,62,5,female_Crdd
95,female,0.21136245893403968,0.11415584234399716,0.044550003004614126,0.45305378582369915,275,Crdd,0,10,95,5,30,6,female_Crdd
96,female,0.21136245893403968,0.11415584234399716,0.044550003004614126,0.45305378582369915,275,Crdd,0,10,95,5,30,6,female_Crdd
97,female,0.21136245893403968,0.11415584234399716,0.044550003004614126,0.45305378582369915,275,Crdd,0,10,95,5,30,6,female_Crdd
98,female,0.21136245893403968,0.11415584234399716,0.044550003004614126,0.45305378582369915,275,Crdd,0,10,95,5,30,6,female_Crdd
99,female,0.21136245893403968,0.11415584234399716,0.044550003004614126,0.45305378582369915,275,Crdd,0,10,95,5,30,6,female_Crdd
100,female,0.21136245893403968,0.11415584234399716,0.044550003004614126,0.45305378582369915,275,Crdd,0,10,95,5,30,6,female_Crdd
